"id","taxonID","acceptedNameUsageID","scientificName","acceptedNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","taxonomicStatus","taxonRemarks","modified","language","license","rightsHolder","accessRights","datasetName","vernaculaNameEN","vernaculaNameFR","localities","Bryoquel_version"
500,500,500,"Drepanocladus polygamus","Drepanocladus polygamus (Schimp.) Hedenäs",,,,"|Musci|||Amblystegiaceae|Drepanocladus|polygamus|",,"Musci",,,"Amblystegiaceae","Drepanocladus","polygamus","","Espèce","(Schimp.) Hedenäs","Accepté","","2014-12-02",,,,,,"polygamous hook moss","faucillette polygame","Québec, Labrador",3.3
502,502,502,"Drummondia prorepens","Drummondia prorepens (Hedw.) E. Britton",,,,"|Musci|||Orthotrichaceae|Drummondia|prorepens|",,"Musci",,,"Orthotrichaceae","Drummondia","prorepens","","Espèce","(Hedw.) E. Britton","Accepté","","2014-12-02",,,,,,"Drummond's bark moss","houppe rampante","Québec, Labrador",3.3
503,503,503,"Encalypta affinis subsp. affinis","Encalypta affinis R. Hedw. subsp. affinis",,,,"|Musci|||Encalyptaceae|Encalypta|affinis|affinis",,"Musci",,,"Encalyptaceae","Encalypta","affinis","affinis","Sous-espèce","","Accepté","","2014-12-02",,,,,,"cylindrical extinguisher moss","éteignoir des neiges","Québec, Labrador",3.3
504,504,504,"Encalypta affinis subsp. macounii","Encalypta affinis R. Hedw. subsp. macounii (Austin) D.G. Horton",,,,"|Musci|||Encalyptaceae|Encalypta|affinis|macounii",,"Musci",,,"Encalyptaceae","Encalypta","affinis","macounii","Sous-espèce","(Austin) D.G. Horton","Accepté","Infraspecific Epithet Authorship : (Austin) D.G. Horton","2014-12-02",,,,,,"Macoun's extinguisher moss","éteignoir arctique","Labrador, Québec",3.3
505,505,505,"Encalypta alpina","Encalypta alpina Sm.",,,,"|Musci|||Encalyptaceae|Encalypta|alpina|",,"Musci",,,"Encalyptaceae","Encalypta","alpina","","Espèce","Sm.","Accepté","","2014-12-02",,,,,,"alpine extinguisher moss","éteignoir alpin","Québec, Labrador",3.3
506,506,506,"Encalypta brevicollis","Encalypta brevicollis (Bruch & Schimp.) Ångström",,,,"|Musci|||Encalyptaceae|Encalypta|brevicollis|",,"Musci",,,"Encalyptaceae","Encalypta","brevicollis","","Espèce","(Bruch & Schimp.) Ångström","Accepté","","2014-12-02",,,,,,"white-mouthed extinguisher moss","éteignoir à col court","Québec, Labrador",3.3
507,507,507,"Encalypta brevipes","Encalypta brevipes Schljakov",,,,"|Musci|||Encalyptaceae|Encalypta|brevipes|",,"Musci",,,"Encalyptaceae","Encalypta","brevipes","","Espèce","Schljakov","Accepté","","2014-12-02",,,,,,"stubby extinguisher moss","petit éteignoir","Québec, Labrador",3.3
508,508,508,"Encalypta ciliata","Encalypta ciliata Hedw.",,,,"|Musci|||Encalyptaceae|Encalypta|ciliata|",,"Musci",,,"Encalyptaceae","Encalypta","ciliata","","Espèce","Hedw.","Accepté","","2014-12-02",,,,,,"fringed extinguisher moss","éteignoir frangé","Québec, Labrador",3.3
509,509,509,"Encalypta longicollis","Encalypta longicollis Bruch",,,,"|Musci|||Encalyptaceae|Encalypta|longicollis|",,"Musci",,,"Encalyptaceae","Encalypta","longicollis","","Espèce","Bruch","Accepté","","2014-12-02",,,,,,"red-toothed extinguisher moss","éteignoir à long col","Québec, Labrador",3.3
510,510,510,"Encalypta procera","Encalypta procera Bruch",,,,"|Musci|||Encalyptaceae|Encalypta|procera|",,"Musci",,,"Encalyptaceae","Encalypta","procera","","Espèce","Bruch","Accepté","","2014-12-02",,,,,,"spiral extinguisher moss","grand éteignoir","Québec, Labrador",3.3
511,511,511,"Encalypta rhaptocarpa","Encalypta rhaptocarpa Schwägr.",,,,"|Musci|||Encalyptaceae|Encalypta|rhaptocarpa|",,"Musci",,,"Encalyptaceae","Encalypta","rhaptocarpa","","Espèce","Schwägr.","Accepté","","2014-12-02",,,,,,"ribbed extinguisher moss","éteignoir strié","Québec, Labrador",3.3
512,512,512,"Entodon cladorrhizans","Entodon cladorrhizans (Hedw.) Müll. Hal.",,,,"|Musci|||Entodontaceae|Entodon|cladorrhizans|",,"Musci",,,"Entodontaceae","Entodon","cladorrhizans","","Espèce","(Hedw.) Müll. Hal.","Accepté","","2014-12-02",,,,,,"flat-stemmed entodon moss","entodon comprimé","Québec, Labrador",3.3
513,513,513,"Entodon seductrix","Entodon seductrix (Hedw.) Müll. Hal.",,,,"|Musci|||Entodontaceae|Entodon|seductrix|",,"Musci",,,"Entodontaceae","Entodon","seductrix","","Espèce","(Hedw.) Müll. Hal.","Accepté","","2014-12-02",,,,,,"round-stemmed entodon moss","entodon séduisant","Québec, Labrador",3.3
514,514,514,"Ephemerum cohaerens","Ephemerum cohaerens (Hedw.) Hampe",,,,"|Musci|||Ephemeraceae|Ephemerum|cohaerens|",,"Musci",,,"Ephemeraceae","Ephemerum","cohaerens","","Espèce","(Hedw.) Hampe","Accepté","","2014-12-02",,,,,,"clustered earth moss","éphémère asymétrique","Québec, Labrador",3.3
515,515,515,"Ephemerum crassinervium","Ephemerum crassinervium (Schwägr.) Hampe",,,,"|Musci|||Ephemeraceae|Ephemerum|crassinervium|",,"Musci",,,"Ephemeraceae","Ephemerum","crassinervium","","Espèce","(Schwägr.) Hampe","Accepté","","2014-12-02",,,,,,"thick-nerved earth moss","éphémère à nervure épaisse","Québec, Labrador",3.3
516,516,516,"Ephemerum serratum","Ephemerum serratum (Schreb. ex Hedw.) Hampe",,,,"|Musci|||Ephemeraceae|Ephemerum|serratum|",,"Musci",,,"Ephemeraceae","Ephemerum","serratum","","Espèce","(Schreb. ex Hedw.) Hampe","Accepté","","2014-12-02",,,,,,"serrated earth moss","éphémère à feuilles dentées","Québec, Labrador",3.3
517,517,517,"Ephemerum spinulosum","Ephemerum spinulosum Bruch. & Schimp.",,,,"|Musci|||Ephemeraceae|Ephemerum|spinulosum|",,"Musci",,,"Ephemeraceae","Ephemerum","spinulosum","","Espèce","Bruch. & Schimp.","Accepté","","2014-12-02",,,,,,"slender-toothed earth moss","éphémère épineux","Québec, Labrador",3.3
518,518,518,"Eurhynchiastrum pulchellum","Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen",,,,"|Musci|||Brachyteciaceae|Eurhynchiastrum|pulchellum|",,"Musci",,,"Brachyteciaceae","Eurhynchiastrum","pulchellum","","Espèce","(Hedw.) Ignatov & Huttunen","Accepté","","2014-12-02",,,,,,"elegant beaked moss","longbec gracieux","Québec, Labrador",3.3
520,520,520,"Fissidens adianthoides","Fissidens adianthoides Hedw.",,,,"|Musci|||Fissidentaceae|Fissidens|adianthoides|",,"Musci",,,"Fissidentaceae","Fissidens","adianthoides","","Espèce","Hedw.","Accepté","","2014-12-02",,,,,,"maidenhair pocket moss","fissident faux-adiante","Québec, Labrador",3.3
521,521,521,"Fissidens bryoides","Fissidens bryoides Hedw.",,,,"|Musci|||Fissidentaceae|Fissidens|bryoides|",,"Musci",,,"Fissidentaceae","Fissidens","bryoides","","Espèce","Hedw.","Accepté","","2014-12-02",,,,,,"lesser pocket moss","fissident faux-bryum","Québec, Labrador",3.3
522,522,522,"Fissidens bushii","Fissidens bushii (Cardot & Thér.) Cardot & Thér.",,,,"|Musci|||Fissidentaceae|Fissidens|bushii|",,"Musci",,,"Fissidentaceae","Fissidens","bushii","","Espèce","(Cardot & Thér.) Cardot & Thér.","Accepté","","2014-12-02",,,,,,"Bush's pocket moss","fissident anodin","Québec, Labrador",3.3
523,523,523,"Fissidens dubius","Fissidens dubius P. Beauv.",,,,"|Musci|||Fissidentaceae|Fissidens|dubius|",,"Musci",,,"Fissidentaceae","Fissidens","dubius","","Espèce","P. Beauv.","Accepté","","2014-12-02",,,,,,"rock pocket moss","fissident crête-de-coq","Québec, Labrador",3.3
525,525,525,"Fissidens exilis","Fissidens exilis Hedw.",,,,"|Musci|||Fissidentaceae|Fissidens|exilis|",,"Musci",,,"Fissidentaceae","Fissidens","exilis","","Espèce","Hedw.","Accepté","","2014-12-02",,,,,,"pygmy pocket moss","fissident mince","Québec, Labrador",3.3
526,526,526,"Fissidens fontanus","Fissidens fontanus (Bach. Pyl.) Steud.",,,,"|Musci|||Fissidentaceae|Fissidens|fontanus|",,"Musci",,,"Fissidentaceae","Fissidens","fontanus","","Espèce","(Bach. Pyl.) Steud.","Accepté","","2014-12-02",,,,,,"water pocket moss","fissident des sources","Québec, Labrador",3.3
527,527,527,"Fissidens minutulus","Fissidens minutulus Sull.",,,,"|Musci|||Fissidentaceae|Fissidens|minutulus|",,"Musci",,,"Fissidentaceae","Fissidens","minutulus","","Espèce","Sull.","Accepté","","2014-12-02",,,,,,"minute pocket moss","fissident minuscule","Québec, Labrador",3.3
528,528,528,"Fissidens obtusifolius","Fissidens obtusifolius Wilson",,,,"|Musci|||Fissidentaceae|Fissidens|obtusifolius|",,"Musci",,,"Fissidentaceae","Fissidens","obtusifolius","","Espèce","Wilson","Accepté","","2014-12-02",,,,,,"blunt pocket moss","fissident à feuilles obtuses","Québec, Labrador",3.3
