id	vernacularName	source	language	countryCode	isPreferredName	taxonRemarks
95	inflated scalewort		Anglais		True	
95	frullanie enflée		Français		True	
95	frullanie dilatée		Français			
96	Oakes scalewort		Anglais		True	
96	frullanie cuivrée		Français		True	
96	frullanie dOakes		Français			
97	river scalewort		Anglais		True	
97	frullanie des rochers		Français		True	
97	frullanie des rivages		Français			
98	Selwyns scalewort		Anglais		True	
98	frullanie des cèdres		Français		True	
98	frullanie de Selwyn		Français			
99	turps pouchwort		Anglais		True	
99	géocalyx odorant		Français		True	
99	géocalice parfumée		Français			
99	géocalyce fétide		Français			
100	Welsh notchwort		Anglais		True	
100	gobelin à lobes aigus		Français		True	
100	gymnocolée galloise		Français			
102	inflated notchwort		Anglais		True	
102	gobelin noir		Français		True	
102	gymnocolée enflée		Français			
102	jongermanne enflée		Français			
103	pointed frostwort		Anglais		True	
103	gymnomitrion apiculé		Français		True	
105	braided frostwort		Anglais		True	
105	gymnomitrion élégant		Français		True	
105	gymnomitrion tressé		Français			
105	gymnomitre élégant		Français			
106	coral frostwort		Anglais		True	
106	gymnomitrion corail		Français		True	
106	gymnomitrion faux-corail		Français			
107	blunt frostwort		Anglais		True	
107	gymnomitrion à lobes obtus		Français		True	
108	Drummonds flapwort		Anglais		True	
108	harpanthe bois-pourri		Français		True	
108	harpanthe de Drummond		Français			
109	great mountain flapwort		Anglais		True	
109	harpanthe des montagnes		Français		True	
110	stipular flapwort		Anglais		True	
110	harpanthe bouclier		Français		True	
110	harpanthe stipulaire		Français			
110	harpanthe à écusson		Français			
111	lax notchwort		Anglais		True	
111	hygrobielle à feuilles lâches		Français		True	
111	hygrobielle à feuilles molles		Français			
112	Jamesons liverwort		Anglais		True	
112	sylphide dautomne		Français		True	
112	jamesonielle dautomne		Français			
113	dark-green flapwort		Anglais		True	
113	jongermanne vert foncé		Français		True	
113	jungermannie vert foncé		Français			
114	carpet-like flapwort		Anglais		True	
114	jongermanne grégaire		Français		True	
114	jungermannie grégaire		Français			
115	kidney flapwort		Anglais		True	
115	jongermanne chevelue		Français		True	
115	jungermannie réniforme		Français			
116	scalloped flapwort		Anglais		True	
116	jongermanne crénelée		Français		True	
116	jungermannie crénelée		Français			
117	cordate flapwort		Anglais		True	
117	jongermanne feuille-en-cur		Français		True	
117	jungermannie cordée		Français			
118	crenulated flapwort		Anglais		True	
118	jongermanne gracile		Français		True	
118	jungermannie gracieuse		Français			
118	jongermanne très grêle		Français			
119	transparent flapwort		Anglais		True	
119	jongermanne hyaline		Français		True	
119	jungermannie hyaline		Français			
120	long-leaved flapwort		Anglais		True	
120	jongermanne lisse		Français		True	
120	jungermannie à capsules lisses		Français			
121	egg flapwort		Anglais		True	
121	jongermanne à feuilles obovées		Français		True	
121	jungermannie obovée		Français			
122	arctic flapwort		Anglais		True	
122	jongermanne polaire		Français		True	
123	dwarf flapwort		Anglais		True	
123	jongermanne naine		Français		True	
123	jungermannie naine		Français			
124	round-fruited flapwort		Anglais		True	
124	jongermanne à capsules rondes		Français		True	
124	jungermannie à fruits ronds		Français			
124	jongermanne à fruits sphériques		Français			
126	bristly fingerwort		Anglais		True	
126	kurzie des tourbières		Français		True	
126	kurzie sétacée		Français			
127	dwarf notchwort		Anglais		True	
127	lophozie minuscule		Français		True	
1135	Gillmans notchwort		Anglais		True	
1135	lophozie des rochers		Français		True	
133	harpanthus-like notchwort		Anglais		True	
133	lophozie faux-harpanthe		Français		True	
134	whip notchwort		Anglais		True	
134	lophozie à gemmules		Français		True	
136	fen notchwort		Anglais		True	
136	lophozie des tourbières		Français		True	
138	anomalous flapwort		Anglais		True	
138	mylie des tourbières		Français		True	
140	least pouncewort		Anglais		True	
140	lustre des forêts		Français		True	
140	lejeunée à feuilles creuses		Français			
141	creeping fingerwort		Anglais		True	
141	lépidozie rampante		Français		True	
141	lépidozie en tapis		Français			
141	jongermanne rampante		Français			
142	small notchwort		Anglais		True	
142	lophozie ascendante		Français		True	
143	lesser notchwort		Anglais		True	
143	lophozie à deux dents		Français		True	
143	lophozie mineure		Français			
143	jongermanne bicrénelée		Français			
143	jongermanne à deux créneaux		Français			
145	cut notchwort		Anglais		True	
145	lophozie découpée		Français		True	
145	lophozie en tête		Français			
145	jongermanne taillée		Français			
146	droplet flapwort		Anglais		True	
146	lophozie commune		Français		True	
146	lophozie longiflore		Français			
149	horned notchwort		Anglais		True	
149	lophozie à longues dents		Français		True	
149	lophozie cornue		Français			
1143	obtuse notchwort		Anglais		True	
1143	lophozie obtuse		Français		True	
152	arctic notchwort		Anglais		True	
152	lophozie polaire		Français		True	
153	Schusters notchwort		Anglais		True	
153	lophozie arctique		Français		True	
153	lophozie de Schuster		Français			
155	forest notchwort		Anglais		True	
155	lophozie des forêts		Français		True	
156	hill notchwort		Anglais		True	
156	lophozie des collines		Français			
157	bog tumid notchwort		Anglais		True	
157	lophozie des sphaignes		Français		True	
157	lophozie des vases		Français			
158	tumid notchwort		Anglais		True	
158	lophozie ventrue		Français		True	
158	lophozie enflée		Français			
158	jongermanne ventrue		Français			
159	Wenzels notchwort		Anglais		True	
159	lophozie à feuilles rondes		Français		True	
159	lophozie de Wenzel		Français			
160	fragrant macewort		Anglais		True	
160	mannie odorante		Français		True	
160	mannie fragrante		Français			
160	fimbriaire odorante		Français			
161	small macewort		Anglais		True	
161	mannie poilue		Français		True	
162	mountain liverwort		Anglais		True	
162	marchantie des montagnes		Français		True	
163	green-tongue liverwort		Anglais		True	
163	marchantie polymorphe		Français		True	
163	marchantie protée		Français			
163	hépatique des fontaines		Français			
164	common liverwort		Anglais		True	
164	marchantie rudérale		Français		True	
165	arctic rustwort		Anglais		True	
165	marsupelle arctique		Français		True	
166	Boecks rustwort		Anglais		True	
166	marsupelle fausse-céphalozielle		Français		True	
167	snow rustwort		Anglais		True	
167	petite marsupelle		Français		True	
167	marsupelle des neiges		Français			
169	compact rustwort		Anglais		True	
169	marsupelle pressée		Français		True	
170	notched rustwort		Anglais		True	
170	marsupelle échancrée		Français		True	
170	sarcoscyphe échancrée		Français			
170	jongermanne émarginée		Français			
171	rounded rustwort		Anglais		True	
171	marsupelle arrondie		Français		True	
172	speckled rustwort		Anglais		True	
172	marsupelle amphibie		Français		True	
172	marsupelle tachetée		Français			
173	Spruces rustwort		Anglais		True	
173	marsupelle à massue		Français		True	
173	marsupelle de Spruce		Français			
175	rock veilwort		Anglais		True	
175	metzgérie des rochers		Français		True	
176	forked veilwort		Anglais		True	
176	metzgérie fourchue		Français		True	
176	metzgérie bifurquée		Français			
176	jongermanne fourchue		Français			
177	fairy beads		Anglais		True	
177	collier des fées		Français		True	
179	Irish ruffwort		Anglais			
179	collerette ondulée		Français		True	
179	moerckie dIrlande		Français			
180	Taylors flapwort		Anglais		True	
180	mylie rouge		Français		True	
180	mylie de Taylor		Français			
181	earth-cup flapwort		Anglais		True	
181	nardie gobelet		Français		True	
181	nardie coupe de terre		Français			
