id	locationID	locality	establishmentMeans
628	735	Québec	
629	736	Québec	
630	737	Québec	
631	738	Québec	
632	739	Québec	
635	740	Québec	
640	741	Québec	
643	742	Québec	
651	743	Québec	
662	744	Québec	
663	745	Québec	
670	746	Québec	
671	747	Québec	
672	748	Québec	
676	749	Québec	
677	750	Québec	
678	751	Québec	
685	752	Québec	
688	753	Québec	
691	754	Québec	
693	755	Québec	
695	756	Québec	
698	757	Québec	
699	758	Québec	
700	759	Québec	
706	760	Québec	
709	761	Québec	
714	762	Québec	
715	763	Québec	
716	764	Québec	
718	765	Québec	
720	766	Québec	
721	767	Québec	
723	768	Québec	
726	769	Québec	
739	770	Québec	
750	771	Québec	
752	772	Québec	
756	773	Québec	
769	774	Québec	
771	775	Québec	
776	776	Québec	
784	777	Québec	
789	778	Québec	
791	779	Québec	
818	780	Québec	
820	781	Québec	
829	782	Québec	
831	783	Québec	
838	784	Québec	
853	785	Québec	
854	786	Québec	
855	787	Québec	
857	788	Québec	
858	789	Québec	
863	790	Québec	
864	791	Québec	
870	792	Québec	
871	793	Québec	
872	794	Québec	
873	795	Québec	
874	796	Québec	
881	797	Québec	
882	798	Québec	
884	799	Québec	
886	800	Québec	
887	801	Québec	
888	802	Québec	
889	803	Québec	
893	804	Québec	
894	805	Québec	
895	806	Québec	
898	807	Québec	
900	808	Québec	
905	809	Québec	
906	810	Québec	
911	811	Québec	
915	812	Québec	
916	813	Québec	
917	814	Québec	
918	815	Québec	
919	816	Québec	
922	817	Québec	
929	818	Québec	
932	819	Québec	
936	820	Québec	
938	821	Québec	
939	822	Québec	
942	823	Québec	
945	824	Québec	
949	825	Québec	
950	826	Québec	
957	827	Québec	
958	828	Québec	
960	829	Québec	
961	830	Québec	
969	831	Québec	
970	832	Québec	
971	833	Québec	
972	834	Québec	
973	835	Québec	
974	836	Québec	
975	837	Québec	
980	838	Québec	
982	839	Québec	
983	840	Québec	
990	841	Québec	
991	842	Québec	
999	843	Québec	
1000	844	Québec	
1001	845	Québec	
1003	846	Québec	
1005	847	Québec	
1010	848	Québec	
1011	849	Québec	
1012	850	Québec	
1014	851	Québec	
1021	852	Québec	
1022	853	Québec	
1024	854	Québec	
1026	855	Québec	
1028	856	Québec	
1029	857	Québec	
1030	858	Québec	
15	859	Labrador	
133	860	Labrador	
223	861	Labrador	
244	862	Labrador	
266	863	Labrador	
366	864	Labrador	
504	865	Labrador	
546	866	Labrador	
547	867	Labrador	
548	868	Labrador	
584	869	Labrador	
600	870	Labrador	
604	871	Labrador	
645	872	Labrador	
701	873	Labrador	
704	874	Labrador	
735	875	Labrador	
892	876	Labrador	
7	877	Labrador	
8	878	Labrador	
11	879	Labrador	
12	880	Labrador	
13	881	Labrador	
14	882	Labrador	
17	883	Labrador	
18	884	Labrador	
19	885	Labrador	
20	886	Labrador	
23	887	Labrador	
25	888	Labrador	
26	889	Labrador	
27	890	Labrador	
28	891	Labrador	
29	892	Labrador	
30	893	Labrador	
31	894	Labrador	
32	895	Labrador	
33	896	Labrador	
36	897	Labrador	
37	898	Labrador	
38	899	Labrador	
39	900	Labrador	
41	901	Labrador	
42	902	Labrador	
46	903	Labrador	
47	904	Labrador	
49	905	Labrador	
50	906	Labrador	
51	907	Labrador	
52	908	Labrador	
54	909	Labrador	
58	910	Labrador	
63	911	Labrador	
68	912	Labrador	
69	913	Labrador	
72	914	Labrador	
74	915	Labrador	
76	916	Labrador	
79	917	Labrador	
81	918	Labrador	
84	919	Labrador	
87	920	Labrador	
93	921	Labrador	
96	922	Labrador	
102	923	Labrador	
103	924	Labrador	
105	925	Labrador	
106	926	Labrador	
109	927	Labrador	
111	928	Labrador	
112	929	Labrador	
116	930	Labrador	
117	931	Labrador	
120	932	Labrador	
121	933	Labrador	
122	934	Labrador	
123	935	Labrador	
124	936	Labrador	
1135	937	Labrador	
134	938	Labrador	
136	939	Labrador	
138	940	Labrador	
141	941	Labrador	
143	942	Labrador	
145	944	Labrador	
146	945	Labrador	
149	946	Labrador	
155	947	Labrador	
156	948	Labrador	
158	949	Labrador	
159	950	Labrador	
162	951	Labrador	
164	952	Labrador	
165	953	Labrador	
166	954	Labrador	
167	955	Labrador	
169	956	Labrador	
170	957	Labrador	
172	958	Labrador	
173	959	Labrador	
179	960	Labrador	
180	961	Labrador	
181	962	Labrador	
183	963	Labrador	
184	964	Labrador	
186	965	Labrador	
187	966	Labrador	
190	967	Labrador	
191	968	Labrador	
192	969	Labrador	
193	970	Labrador	
194	971	Labrador	
196	972	Labrador	
201	973	Labrador	
202	974	Labrador	
204	975	Labrador	
205	976	Labrador	
206	977	Labrador	
210	978	Labrador	
220	979	Labrador	
222	980	Labrador	
230	981	Labrador	
231	982	Labrador	
235	983	Labrador	
236	984	Labrador	
239	985	Labrador	
245	986	Labrador	
246	987	Labrador	
247	988	Labrador	
248	989	Labrador	
249	990	Labrador	
254	991	Labrador	
