id	taxonID	acceptedNameUsageID	scientificName	acceptedNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	license	rightsHolder	accessRights	datasetName
505	505	505	Encalypta alpina	Encalypta alpina Sm.				|Musci|||Encalyptaceae|Encalypta|alpina|		Musci			Encalyptaceae	Encalypta	alpina		Espèce	Sm.	Accepté		2014-12-02					
506	506	506	Encalypta brevicollis	Encalypta brevicollis (Bruch & Schimp.) Ångström				|Musci|||Encalyptaceae|Encalypta|brevicollis|		Musci			Encalyptaceae	Encalypta	brevicollis		Espèce	(Bruch & Schimp.) Ångström	Accepté		2014-12-02					
507	507	507	Encalypta brevipes	Encalypta brevipes Schljakov				|Musci|||Encalyptaceae|Encalypta|brevipes|		Musci			Encalyptaceae	Encalypta	brevipes		Espèce	Schljakov	Accepté		2014-12-02					
508	508	508	Encalypta ciliata	Encalypta ciliata Hedw.				|Musci|||Encalyptaceae|Encalypta|ciliata|		Musci			Encalyptaceae	Encalypta	ciliata		Espèce	Hedw.	Accepté		2014-12-02					
509	509	509	Encalypta longicollis	Encalypta longicollis Bruch				|Musci|||Encalyptaceae|Encalypta|longicollis|		Musci			Encalyptaceae	Encalypta	longicollis		Espèce	Bruch	Accepté		2014-12-02					
510	510	510	Encalypta procera	Encalypta procera Bruch				|Musci|||Encalyptaceae|Encalypta|procera|		Musci			Encalyptaceae	Encalypta	procera		Espèce	Bruch	Accepté		2014-12-02					
511	511	511	Encalypta rhaptocarpa	Encalypta rhaptocarpa Schwägr.				|Musci|||Encalyptaceae|Encalypta|rhaptocarpa|		Musci			Encalyptaceae	Encalypta	rhaptocarpa		Espèce	Schwägr.	Accepté		2014-12-02					
512	512	512	Entodon cladorrhizans	Entodon cladorrhizans (Hedw.) Müll. Hal.				|Musci|||Entodontaceae|Entodon|cladorrhizans|		Musci			Entodontaceae	Entodon	cladorrhizans		Espèce	(Hedw.) Müll. Hal.	Accepté		2014-12-02					
513	513	513	Entodon seductrix	Entodon seductrix (Hedw.) Müll. Hal.				|Musci|||Entodontaceae|Entodon|seductrix|		Musci			Entodontaceae	Entodon	seductrix		Espèce	(Hedw.) Müll. Hal.	Accepté		2014-12-02					
514	514	514	Ephemerum cohaerens	Ephemerum cohaerens (Hedw.) Hampe				|Musci|||Ephemeraceae|Ephemerum|cohaerens|		Musci			Ephemeraceae	Ephemerum	cohaerens		Espèce	(Hedw.) Hampe	Accepté		2014-12-02					
515	515	515	Ephemerum crassinervium	Ephemerum crassinervium (Schwägr.) Hampe				|Musci|||Ephemeraceae|Ephemerum|crassinervium|		Musci			Ephemeraceae	Ephemerum	crassinervium		Espèce	(Schwägr.) Hampe	Accepté		2014-12-02					
516	516	516	Ephemerum serratum	Ephemerum serratum (Schreb. ex Hedw.) Hampe				|Musci|||Ephemeraceae|Ephemerum|serratum|		Musci			Ephemeraceae	Ephemerum	serratum		Espèce	(Schreb. ex Hedw.) Hampe	Accepté		2014-12-02					
517	517	517	Ephemerum spinulosum	Ephemerum spinulosum Bruch. & Schimp.				|Musci|||Ephemeraceae|Ephemerum|spinulosum|		Musci			Ephemeraceae	Ephemerum	spinulosum		Espèce	Bruch. & Schimp.	Accepté		2014-12-02					
518	518	518	Eurhynchiastrum pulchellum	Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen				|Musci|||Brachyteciaceae|Eurhynchiastrum|pulchellum|		Musci			Brachyteciaceae	Eurhynchiastrum	pulchellum		Espèce	(Hedw.) Ignatov & Huttunen	Accepté		2014-12-02					
519	519	518	Eurhynchium pulchellum	Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen														(Hedw.) Jenn.	Synonyme		2015-11-02					
520	520	520	Fissidens adianthoides	Fissidens adianthoides Hedw.				|Musci|||Fissidentaceae|Fissidens|adianthoides|		Musci			Fissidentaceae	Fissidens	adianthoides		Espèce	Hedw.	Accepté		2014-12-02					
